"","ensembl_gene_id","external_gene_name","Gene_name_canonical","graph_localization_annotation","num_human","num"
"1","ENSMUSG00000000001","Gnai3","GNAI3","plasma_membrane",1,1
"2","ENSMUSG00000000134","Tfe3","TFE3","nucleus",1,1
"3","ENSMUSG00000000168","Dlat","DLAT","mitochondrion",1,1
"4","ENSMUSG00000000194","Gpr107","GPR107","Golgi",1,1
"5","ENSMUSG00000000253","Gmpr","GMPR","cytosol",1,1
"6","ENSMUSG00000000275","Trim25","TRIM25","stress_granule",1,2
"7","ENSMUSG00000000276","Dgke","DGKE","ER",1,1
"8","ENSMUSG00000000278","Scpep1","SCPEP1","lysosome",1,1
"9","ENSMUSG00000000326","Comt","COMT","ER",1,1
"10","ENSMUSG00000000340","Dbt","DBT","mitochondrion",1,1
"11","ENSMUSG00000000355","Mcts1","MCTS1","cytosol",1,1
"12","ENSMUSG00000000384","Tbrg4","TBRG4","mitochondrion",1,1
"13","ENSMUSG00000000420","Galnt1","GALNT1","Golgi",1,1
"14","ENSMUSG00000000439","Mkrn2","MKRN2","nucleus",1,1
"15","ENSMUSG00000000441","Raf1","RAF1","14-3-3_scaffold",1,1
"16","ENSMUSG00000000538","Tom1l2","TOM1L2","cytosol",1,1
"17","ENSMUSG00000000555","Itga5","ITGA5","plasma_membrane",1,1
"18","ENSMUSG00000000561","Wdr77","WDR77","cytosol",1,1
"19","ENSMUSG00000000563","Atp5pb","ATP5PB","mitochondrion",1,1
"20","ENSMUSG00000000568","Hnrnpd","HNRNPD","nucleus",1,1
"21","ENSMUSG00000000594","Gm2a","GM2A","lysosome",1,1
"22","ENSMUSG00000000628","Hk2","HK2","mitochondrion",1,1
"23","ENSMUSG00000000631","Myo18a","MYO18A","actin_cytoskeleton",1,2
"24","ENSMUSG00000000711","Rab5b","RAB5B","early_endosome",1,1
"25","ENSMUSG00000000740","Rpl13","RPL13","translation",1,1
"26","ENSMUSG00000000743","Chmp1a","CHMP1A","cytosol",1,2
"27","ENSMUSG00000000751","Rpa1","RPA1","nucleus",1,2
"28","ENSMUSG00000000759","Tubgcp3","TUBGCP3","unclassified",1,1
"29","ENSMUSG00000000787","Ddx3x","DDX3X","nucleus",1,1
"30","ENSMUSG00000000787","Ddx3x","DDX3X","unclassified",1,1
"31","ENSMUSG00000000826","Dnajc5","DNAJC5","plasma_membrane",1,1
"32","ENSMUSG00000000827","Tpd52l2","TPD52L2","early_endosome",1,2
"33","ENSMUSG00000000838","Fmr1","FMR1","stress_granule",1,6
"34","ENSMUSG00000000902","Smarcb1","SMARCB1","nucleus",1,1
"35","ENSMUSG00000000916","Nsun5","NSUN5","nucleus",1,1
"36","ENSMUSG00000000976","Heatr6","HEATR6","unclassified",1,1
"37","ENSMUSG00000001016","Ilf2","ILF2","nucleus",1,1
